Combat_ID,Total_Turn_Number,Character_Turn_Number,Player_Or_NPC,ATTACKER,TARGET,MOVE,Hit_Number,Damage_or_Healing,Targets_Current_HP,Target Max HP,Hasted_Flag,Haste_Value,Damage_Buff_Flag,Damage_Buff_Value,Target_damage_Taken_increase_flag,Target_damage_Taken_increase_amount 
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,95,120,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,95,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Poison1,1,4,76,120,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,95,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Poison1,1,4,76,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,95,120,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Poison1,1,4,76,120,False,0,False,0,False,0
1,0,3,Enemy,Enemy 1,Hero 1,Slash,1,10,146,200,False,0,False,0,False,0
1,0,3,Player,Hero 1,Enemy 1,Fire1,1,10,51,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,95,120,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Fire1,1,10,70,120,False,0,False,0,False,0
1,0,3,Enemy,Enemy 1,Hero 1,Slash,1,10,146,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,91,120,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Poison1,1,4,67,120,False,0,False,0,False,0
1,0,3,Enemy,Enemy 1,Hero 1,Slash,1,10,146,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,91,120,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,91,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,91,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Fire1,1,10,58,120,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,1,Player,Hero 2,Enemy 1,Poison1,1,4,103,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 2,Slash,1,10,192,210,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,74,120,False,0,False,0,False,0
1,0,2,Player,Hero 2,Enemy 1,Hammer Swing,1,15,47,120,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,91,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 2,Enemy 1,Poison1,1,4,74,120,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Slash,1,10,45,120,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,91,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Poison1,1,4,100,120,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Slash,1,10,74,120,False,0,False,0,False,0
1,0,3,Enemy,Enemy 1,Hero 1,Slash,1,10,146,200,False,0,False,0,False,0
1,0,3,Player,Hero 1,Enemy 1,Slash,1,10,48,120,False,0,False,0,False,0
1,0,4,Enemy,Enemy 1,Hero 1,Slash,1,10,128,200,False,0,False,0,False,0
1,0,4,Player,Hero 1,Enemy 1,Slash,1,10,22,120,False,0,False,0,False,0
1,0,5,Enemy,Enemy 1,Hero 1,Slash,1,10,110,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Poison1,1,4,180,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Slash,1,10,154,200,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,3,Player,Hero 1,Enemy 1,Slash,1,10,128,200,False,0,False,0,False,0
1,0,3,Enemy,Enemy 1,Hero 1,Slash,1,10,146,200,False,0,False,0,False,0
1,0,4,Player,Hero 1,Enemy 1,Slash,1,10,102,200,False,0,False,0,False,0
1,0,4,Enemy,Enemy 1,Hero 1,Slash,1,10,128,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,171,200,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Slash,1,10,142,200,False,0,False,0,False,0
1,0,3,Enemy,Enemy 1,Hero 1,Slash,1,10,146,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Poison1,1,4,180,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Slash,1,10,154,200,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,176,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Slash,1,10,152,200,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,3,Player,Hero 1,Enemy 1,Slash,1,10,128,200,False,0,False,0,False,0
1,0,3,Enemy,Enemy 1,Hero 1,Slash,1,10,146,200,False,0,False,0,False,0
1,0,4,Player,Hero 1,Enemy 1,Slash,1,10,108,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,176,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Slash,1,10,152,200,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,3,Player,Hero 1,Enemy 1,Slash,1,10,128,200,False,0,False,0,False,0
1,0,3,Enemy,Enemy 1,Hero 1,Slash,1,10,146,200,False,0,False,0,False,0
1,0,4,Player,Hero 1,Enemy 1,Slash,1,10,108,200,False,0,False,0,False,0
1,0,4,Enemy,Enemy 1,Hero 1,Slash,1,10,128,200,False,0,False,0,False,0
1,0,5,Player,Hero 1,Enemy 1,Slash,1,10,88,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,176,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,176,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 2,Enemy 1,Poison1,1,4,159,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 2,Hero 2,Slash,1,10,195,210,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Slash,1,10,135,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,176,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 2,Enemy 1,Fire1,1,10,150,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 2,Hero 2,Hammer Swing,1,15,190,210,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Slash,1,10,126,200,False,0,False,0,False,0
1,0,1,Player,Hero 2,Enemy 2,Hammer Swing,1,15,88,115,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Slash,1,10,180,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 2,Hero 2,Slash,1,10,195,210,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 2,Slash,1,10,192,210,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 2,Slash,1,10,95,115,False,0,False,0,False,0
1,0,1,Player,Hero 2,Enemy 1,Hammer Swing,1,15,173,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 2,Hero 1,Hammer Swing,1,15,180,200,False,0,False,0,False,0
1,0,1,Player,Hero 2,Enemy 1,Hammer Swing,1,15,173,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 2,Slash,1,10,192,210,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Slash,1,10,180,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Slash,1,10,180,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 2,Enemy 2,Poison1,1,4,98,115,False,0,False,0,False,0
1,0,1,Enemy,Enemy 2,Hero 1,Hammer Swing,1,15,162,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 2,Fire1,1,10,91,115,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 2,Slash,1,10,95,115,False,0,False,0,False,0
1,0,1,Player,Hero 2,Enemy 1,Poison1,1,4,183,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 2,Slash,1,10,192,210,False,0,False,0,False,0
1,0,1,Enemy,Enemy 2,Hero 1,Slash,1,10,185,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 2,Slash,1,10,75,115,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Slash,1,10,180,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,176,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 2,Enemy 2,Poison1,1,4,98,115,False,0,False,0,False,0
1,0,1,Enemy,Enemy 2,Hero 1,Hammer Swing,1,15,162,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 2,Slash,1,10,192,210,False,0,False,0,False,0
1,0,1,Player,Hero 2,Enemy 1,Poison1,1,4,183,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 2,Fire1,1,10,0,115,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 2,Hero 2,Slash,1,10,195,210,False,0,False,0,False,0
1,0,2,Enemy,Enemy 2,Hero 2,Hammer Swing,1,15,175,210,False,0,False,0,False,0
1,0,3,Enemy,Enemy 2,Hero 2,Hammer Swing,1,15,155,210,False,0,False,0,False,0
1,0,4,Enemy,Enemy 2,Hero 2,Slash,1,10,140,210,False,0,False,0,False,0
1,0,5,Enemy,Enemy 2,Hero 2,Slash,1,10,125,210,False,0,False,0,False,0
1,0,6,Enemy,Enemy 2,Hero 1,Hammer Swing,1,15,162,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 2,Slash,1,10,95,115,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Quinn,Enemy 1,DoT,1,0,182,200,False,0,False,0,False,0
